"Australia,Indonesia,United States",12
"France,Saudi Arabia",10
"Denmark,France,Portugal",9
Togo,8
"France,Greece,Netherlands",8
Qatar,7.5
"Denmark,France,Switzerland",7
"France,Luxembourg",6.5
"Egypt,United Kingdom,United States",6
"Australia,New Zealand",5.5
"France,Morocco",5.25
